Week,sumweeklydeath,sumweeklycase,countriesAndTerritories,popData2020,secDoseAdministered
9,8640,469539,Austria,8901064,264584
9,22427,791122,Belgium,11522440,371256
9,10593,259811,Bulgaria,6951482,50059
9,5585,246120,Croatia,4058165,68203
9,234,35986,Cyprus,888005,28531
9,22226,1322084,Czechia,10693939,267801
9,2377,214326,Denmark,5822763,195698
9,653,75003,Estonia,1328976,45062
9,802,61552,Finland,5525292,176229
9,88470,3770435,France,67320216,3872660
9,71900,2500182,Germany,83166711,2559810
9,6705,203978,Greece,10718565,366858
9,15873,466017,Hungary,9769526,307444
9,29,6059,Iceland,364134,34843
9,4419,222607,Ireland,4964440,160456
9,99578,3046762,Italy,59641488,3352674
9,1687,90009,Latvia,1907675,18176
9,54,2590,Liechtenstein,38747,820
9,3321,201799,Lithuania,2794090,169724
9,657,56506,Luxembourg,626108,9929
9,329,24352,Malta,514564,32505
9,15795,1114630,Netherlands,17407585,361815
9,632,73493,Norway,5367580,221451
9,45159,1781345,Poland,37958138,2891164
9,16512,809412,Portugal,10295909,644600
9,20854,824995,Romania,19328838,652842
9,7836,624188,Slovakia,5457873,180488
9,4204,195565,Slovenia,2095861,65759
9,71138,3149012,Spain,47332614,1418500
9,13189,693888,Sweden,10327589,688517
