Week,sumweeklydeath,sumweeklycase,countriesAndTerritories,popData2020,secDoseAdministered
41,73,14200,Austria,8901064,29521
40,71,12537,Austria,8901064,30828
39,49,12647,Austria,8901064,26101
38,66,11741,Austria,8901064,25266
37,41,14205,Austria,8901064,27431
36,39,13919,Austria,8901064,24737
35,28,10664,Austria,8901064,29783
34,17,9210,Austria,8901064,39122
33,5,7552,Austria,8901064,86258
32,8,5251,Austria,8901064,119166
31,9,3460,Austria,8901064,179536
30,5,3151,Austria,8901064,221639
29,1,2516,Austria,8901064,263398
28,4,1898,Austria,8901064,301770
27,5,591,Austria,8901064,336820
26,9,641,Austria,8901064,414688
25,11,801,Austria,8901064,397521
24,19,742,Austria,8901064,337882
23,24,1932,Austria,8901064,335925
22,32,2267,Austria,8901064,267993
21,50,3301,Austria,8901064,232303
20,59,4463,Austria,8901064,178624
19,83,6331,Austria,8901064,104015
18,135,9453,Austria,8901064,116854
17,144,13195,Austria,8901064,68142
16,175,15318,Austria,8901064,59507
15,196,16296,Austria,8901064,96980
14,217,19309,Austria,8901064,136949
13,199,21652,Austria,8901064,80547
12,173,22100,Austria,8901064,92827
11,184,20737,Austria,8901064,47576
10,152,18468,Austria,8901064,30555
41,86,22744,Belgium,11522440,19566
40,65,14821,Belgium,11522440,17579
39,60,13289,Belgium,11522440,25643
38,54,13616,Belgium,11522440,26188
37,44,14447,Belgium,11522440,26857
36,52,13734,Belgium,11522440,29592
35,46,13750,Belgium,11522440,41381
34,35,14104,Belgium,11522440,59275
33,43,13816,Belgium,11522440,94877
32,23,13334,Belgium,11522440,250882
31,26,12230,Belgium,11522440,406351
30,22,11278,Belgium,11522440,596202
29,14,10386,Belgium,11522440,667395
28,9,9541,Belgium,11522440,623755
27,13,7510,Belgium,11522440,683992
26,22,4087,Belgium,11522440,295774
25,28,2456,Belgium,11522440,296873
24,42,3027,Belgium,11522440,332473
23,50,5282,Belgium,11522440,533312
22,86,9117,Belgium,11522440,402069
21,100,12230,Belgium,11522440,390399
20,130,17298,Belgium,11522440,300528
19,144,14913,Belgium,11522440,286086
18,259,21232,Belgium,11522440,237206
17,260,21022,Belgium,11522440,85255
16,282,24689,Belgium,11522440,27711
15,270,24656,Belgium,11522440,92374
14,292,24438,Belgium,11522440,58704
13,257,30214,Belgium,11522440,67552
12,190,34289,Belgium,11522440,66558
11,182,29615,Belgium,11522440,55918
10,173,21554,Belgium,11522440,46156
41,615,19378,Bulgaria,6951482,12679
40,621,14760,Bulgaria,6951482,15821
39,546,13116,Bulgaria,6951482,17523
38,464,10637,Bulgaria,6951482,22318
37,516,10893,Bulgaria,6951482,25736
36,386,9290,Bulgaria,6951482,22984
35,378,10397,Bulgaria,6951482,25301
34,238,10237,Bulgaria,6951482,26646
33,128,7949,Bulgaria,6951482,25084
32,87,5089,Bulgaria,6951482,22905
31,39,2819,Bulgaria,6951482,23876
30,20,1425,Bulgaria,6951482,24685
29,24,699,Bulgaria,6951482,22977
28,29,484,Bulgaria,6951482,24939
27,56,412,Bulgaria,6951482,27705
26,57,519,Bulgaria,6951482,34509
25,38,510,Bulgaria,6951482,37430
24,91,711,Bulgaria,6951482,50011
23,85,868,Bulgaria,6951482,74469
22,156,1205,Bulgaria,6951482,71960
21,170,1656,Bulgaria,6951482,51134
20,237,2524,Bulgaria,6951482,86335
19,348,4080,Bulgaria,6951482,122734
18,458,5115,Bulgaria,6951482,75801
17,585,7746,Bulgaria,6951482,52229
16,721,11137,Bulgaria,6951482,35428
15,787,14432,Bulgaria,6951482,15286
14,844,19272,Bulgaria,6951482,12376
13,857,24489,Bulgaria,6951482,12663
12,684,25290,Bulgaria,6951482,16990
11,732,24602,Bulgaria,6951482,12807
10,641,18067,Bulgaria,6951482,8361
41,114,9663,Croatia,4058165,13090
40,99,9195,Croatia,4058165,12759
39,84,8701,Croatia,4058165,13485
38,87,7945,Croatia,4058165,14461
37,66,8001,Croatia,4058165,13392
36,65,5809,Croatia,4058165,13578
35,38,4485,Croatia,4058165,15374
34,26,3422,Croatia,4058165,21440
33,16,2668,Croatia,4058165,23461
32,11,1892,Croatia,4058165,26297
31,12,1217,Croatia,4058165,28022
30,14,1119,Croatia,4058165,44434
29,9,1008,Croatia,4058165,60342
28,9,720,Croatia,4058165,57843
27,12,587,Croatia,4058165,98583
26,18,574,Croatia,4058165,135699
25,28,492,Croatia,4058165,129400
24,37,611,Croatia,4058165,172236
23,52,1096,Croatia,4058165,149078
22,78,1453,Croatia,4058165,78058
21,119,2220,Croatia,4058165,89752
20,196,3825,Croatia,4058165,68160
19,263,6081,Croatia,4058165,65894
